Date,Close,Stat
08.11.2012,526.4,0
15.11.2012,522.7,0.00707863
22.11.2012,522.2,0.008042895
29.11.2012,524.3,0.00400534
06.12.2012,528.2,-0.0034078
13.12.2012,527.3,-0.001706808
20.12.2012,528.8,-0.004538578
27.12.2012,532,-0.010526316
03.01.2013,532,-0.010526316
10.01.2013,537.4,-0.020468924
17.01.2013,526.4,0
24.01.2013,530.4,-0.007541478
31.01.2013,530.7,-0.008102506
07.02.2013,533.5,-0.013308341
14.02.2013,532.5,-0.011455399
21.02.2013,529.5,-0.00585458
28.02.2013,524,0.004580153
07.03.2013,523.4,0.005731754
14.03.2013,522.1,0.00823597
21.03.2013,520,0.012307692
28.03.2013,522.4,0.007656968
04.04.2013,527.6,-0.00227445
11.04.2013,516.9,0.018378797
18.04.2013,521.3,0.009783234
25.04.2013,515.2,0.02173913
02.05.2013,515.2,0.02173913
09.05.2013,533.5,-0.013308341
16.05.2013,520.4,0.011529593
23.05.2013,512.4,0.027322404
30.05.2013,513.7,0.024722601
06.06.2013,518.4,0.015432099
13.06.2013,515.8,0.020550601
20.06.2013,519.4,0.013477089
27.06.2013,514.1,0.023925306
04.07.2013,514.5,0.023129252
11.07.2013,505,0.042376238
18.07.2013,506,0.040316206
25.07.2013,505.7,0.04093336
01.08.2013,509.4,0.033372595
08.08.2013,507.9,0.036424493
15.08.2013,507.8,0.036628594
22.08.2013,507.7,0.036832775
29.08.2013,508.1,0.036016532
05.09.2013,510.8,0.030540329
12.09.2013,503.9,0.044651717
19.09.2013,504,0.044444444
26.09.2013,515.9,0.020352782
03.10.2013,514.9,0.022334434
10.10.2013,512.7,0.02672128
17.10.2013,509.8,0.032561789
24.10.2013,511.1,0.029935433
31.10.2013,517,0.018181818
07.11.2013,513.9,0.024323798
14.11.2013,510.8,0.030540329
21.11.2013,507.7,0.036832775
28.11.2013,505.9,0.040521842
05.12.2013,514.9,0.022334434
12.12.2013,511.2,0.029733959
19.12.2013,512.7,0.02672128
26.12.2013,508.5,0.035201573
02.01.2014,511.6,0.028928851
09.01.2014,510.5,0.031145935
16.01.2014,499.1,0.054698457
23.01.2014,498.8,0.055332799
30.01.2014,496.7,0.059794645
06.02.2014,498.9,0.055121267
13.02.2014,490.2,0.073847409
20.02.2014,492.5,0.068832487
27.02.2014,493.4,0.066882854
06.03.2014,493.3,0.067099128
13.03.2014,494.6,0.064294379
20.03.2014,493.2,0.067315491
27.03.2014,486.6,0.081792026
03.04.2014,484,0.087603306
10.04.2014,473.9,0.110782866
17.04.2014,477.7,0.101946829
24.04.2014,482,0.092116183
01.05.2014,482.7,0.090532422
08.05.2014,471.6,0.11620017
15.05.2014,471.1,0.117384844
22.05.2014,466.8,0.127677806
29.05.2014,468.4,0.12382579
05.06.2014,466.9,0.127436282
12.06.2014,469.9,0.120238349
19.06.2014,468.7,0.123106465
26.06.2014,471.1,0.117384844
03.07.2014,475.8,0.106347205
10.07.2014,474.3,0.109846089
17.07.2014,476.7,0.104258443
24.07.2014,472.5,0.114074074
31.07.2014,472.4,0.114309907
07.08.2014,468.4,0.12382579
14.08.2014,468.6,0.123346137
21.08.2014,468.6,0.123346137
28.08.2014,466.1,0.12937138
04.09.2014,465.8,0.130098755
11.09.2014,464.2,0.133993968
18.09.2014,459.9,0.144596651
25.09.2014,458.3,0.148592625
02.10.2014,456.8,0.152364273
09.10.2014,454.7,0.157686387
16.10.2014,451.7,0.165375249
23.10.2014,443.8,0.186119874
30.10.2014,439.1,0.19881576
06.11.2014,428.6,0.228184788
13.11.2014,421.4,0.249169435
20.11.2014,420.6,0.251545411
27.11.2014,420.4,0.252140818
04.12.2014,420.5,0.251843044
11.12.2014,416.2,0.26477655
18.12.2014,414.6,0.269657501
25.12.2014,398.9,0.31962898
