Дата,Период,Факт,Прогноз,Пред,Ед. изм.
20.02.2014,,0.309,-0.538,-1.853,млн барр.
26.02.2014,,-2.807,-0.986,0.309,млн барр.
05.03.2014,,-1.604,-1.183,-2.807,млн барр.
12.03.2014,,-5.230,-2.033,-1.604,млн барр.
19.03.2014,,-1.467,-1.542,-5.230,млн барр.
26.03.2014,,-5.101,-1.206,-1.467,млн барр.
02.04.2014,,-1.574,-1.086,-5.101,млн барр.
09.04.2014,,-5.188,-0.729,-1.574,млн барр.
16.04.2014,,-0.154,-1.667,-5.188,млн барр.
23.04.2014,,-0.274,-1.713,-0.154,млн барр.
30.04.2014,,1.564,-0.600,-0.274,млн барр.
07.05.2014,,1.608,0.017,1.564,млн барр.
14.05.2014,,-0.772,0.143,1.608,млн барр.
21.05.2014,,0.970,0.079,-0.772,млн барр.
29.05.2014,,-1.803,0.283,0.970,млн барр.
04.06.2014,,0.21,-0.157,-1.803,млн барр.
11.06.2014,,1.697,0.843,0.210,млн барр.
18.06.2014,,0.785,-0.113,1.697,млн барр.
25.06.2014,,0.71,1.486,0.785,млн барр.
02.07.2014,,-1.235,0.357,0.710,млн барр.
09.07.2014,,0.579,-0.217,-1.235,млн барр.
16.07.2014,,0.171,0.600,0.579,млн барр.
23.07.2014,,3.379,1.300,0.171,млн барр.
30.07.2014,,0.365,1.257,3.379,млн барр.
06.08.2014,,-4.387,0.300,0.365,млн барр.
13.08.2014,,-1.16,-1.071,-4.387,млн барр.
20.08.2014,,0.585,-1.588,-1.160,млн барр.
27.08.2014,,-0.96,-1.079,0.585,млн барр.
04.09.2014,,-2.322,-1.325,-0.960,млн барр.
10.09.2014,,2.381,-0.157,-2.322,млн барр.
17.09.2014,,-1.635,-0.257,2.381,млн барр.
24.09.2014,,-0.414,-0.086,-1.635,млн барр.
01.10.2014,,-1.836,-0.767,-0.414,млн барр.
08.10.2014,,1.18,-1.000,-1.836,млн барр.
16.10.2014,,-3.995,-1.200,1.180,млн барр.
22.10.2014,,-1.299,-1.000,-3.995,млн барр.
29.10.2014,,-1.236,-0.986,-1.299,млн барр.
05.11.2014,,-1.378,-0.380,-1.236,млн барр.
13.11.2014,,1.805,0.517,-1.378,млн барр.
19.11.2014,,1.034,0.600,1.805,млн барр.
26.11.2014,,1.825,1.817,1.034,млн барр.
03.12.2014,,2.143,1.040,1.825,млн барр.
10.12.2014,,8.197,2.580,2.143,млн барр.
17.12.2014,,5.25,1.780,8.197,млн барр.
24.12.2014,,4.083,0.600,5.250,млн барр.
31.12.2014,,2.951,2.133,4.083,млн барр.
07.01.2015,,8.115,3.380,2.951,млн барр.
14.01.2015,,3.171,3.467,8.115,млн барр.
22.01.2015,,0.588,1.200,3.171,млн барр.
28.01.2015,,-2.587,0.320,0.588,млн барр.
04.02.2015,,2.335,0.067,-2.587,млн барр.
11.02.2015,,1.977,0.200,2.335,млн барр.
04.03.2015,,0.046,-1.871,-3.118,млн барр.
11.03.2015,,-0.187,-1.686,0.046,млн барр.
18.03.2015,,-4.473,-0.883,-0.187,млн барр.
25.03.2015,,-2.014,-1.633,-4.473,млн барр.
01.04.2015,,-4.258,-0.943,-2.014,млн барр.
08.04.2015,,0.817,-1.043,-4.258,млн барр.
15.04.2015,,-2.072,-0.200,0.817,млн барр.
22.04.2015,,-2.135,-0.700,-2.072,млн барр.
29.04.2015,,1.713,0.217,-2.135,млн барр.
06.05.2015,,0.401,0.867,1.713,млн барр.
13.05.2015,,-1.142,0.429,0.401,млн барр.
20.05.2015,,-2.774,0.729,-1.142,млн барр.
27.05.2015,,-3.309,-0.429,-2.774,млн барр.
03.06.2015,,-0.334,0.529,-3.309,млн барр.
